Step,PPO5.1_0,PPO5.1_1,PPO5.1_10,PPO5.1_50,PPO5.1_100
2048,-64.031471,-149.63884,36.0031853,17.6740017,-165.30663
4096,-118.68309,-84.344002,-49.728306,-47.493237,-153.53801
6144,-81.698692,-108.44614,10.0906134,-86.320885,-151.11069
8192,-93.45433,-87.445778,-28.612539,-100.05359,-163.4268
10240,-63.65255,-86.547722,-11.381542,-111.53295,-140.46814
12288,-76.92028,-102.35767,-22.628933,-125.77516,-151.56604
14336,-62.527615,-100.06496,-27.449648,-124.95857,-118.42033
16384,-60.75272,-91.562607,-50.651913,-110.61892,-96.446754
18432,-54.142506,-74.035812,-61.588963,-111.92117,-68.597145
20480,-59.74971,-45.217148,-54.053066,-112.68296,-68.530876
22528,-40.995663,-43.546314,-51.651112,-118.10078,-67.482239
24576,-47.798172,-49.759399,-49.992222,-108.20379,-59.041241
26624,-32.069672,-54.773724,-58.196568,-111.23804,-53.908768
28672,-39.525311,-32.545643,-55.778183,-114.43972,-46.246017
30720,-45.782516,-38.490143,-60.443584,-106.68984,-47.91013
32768,-45.976028,-34.275337,-43.509594,-102.57481,-48.489815
34816,-44.598801,-42.258244,-48.588051,-104.06937,-35.83773
36864,-40.103981,-46.019043,-47.683601,-103.99605,-33.488152
38912,-45.031055,-41.959858,-45.746677,-106.54864,-28.93615
40960,-43.726612,-40.967968,-35.146721,-108.67281,-25.133533
43008,-39.172211,-40.020931,-27.686716,-103.72755,-23.83943
45056,-39.193352,-33.51646,-30.310352,-89.538933,-22.960644
47104,-35.072033,-33.398777,-28.573387,-85.854675,-24.182243
49152,-29.184778,-33.027782,-21.865864,-63.989769,-22.444929
51200,-28.246162,-32.328629,-21.937355,-52.828976,-24.975498
53248,-35.162262,-26.174507,-15.894597,-50.854523,-6.2288237
55296,-40.606232,-23.548309,-14.921628,-27.722511,-14.543118
57344,-36.776108,-13.963966,-6.4991875,-27.01973,-12.64586
59392,-34.623722,-4.9255276,-2.5335131,-22.482634,-22.528128
61440,-40.288902,1.81669211,-3.3996191,-19.741169,-15.637857
63488,-42.457348,-14.045625,-3.4302297,-3.1295879,-11.305905
65536,-40.406166,-14.477925,0.1322868,16.8286285,-4.034174
67584,-33.891228,-6.5974169,-6.2682052,30.3487282,-8.0239143
69632,-28.265789,-5.117219,1.02842414,46.107357,-16.995041
71680,-42.569485,-14.428248,1.46930587,47.9617805,-16.424253
73728,-37.492229,-14.334345,7.89990425,57.1868935,0.12309931
75776,-27.163404,-13.790193,2.1942184,54.2157478,-1.7645793
77824,-20.994745,6.42442226,7.15722322,61.3013458,6.73751497
79872,-20.66534,9.69471645,6.8690896,70.5120316,6.90800476
81920,-20.88483,11.8722477,6.22367907,81.296608,12.6908236
83968,-22.563082,4.16233301,-9.5273504,85.8744049,14.5910072
86016,-26.130184,-5.0152421,-15.973599,70.5441895,15.8607807
88064,-26.488091,5.18322706,-10.001077,65.547905,32.3536568
90112,-33.544487,5.02523851,-11.739904,60.6304893,42.3489532
92160,-31.504045,5.58492041,-11.490143,50.5716019,43.7902794
94208,-26.669794,-0.2388495,-0.137439,50.1093063,42.6812248
96256,-8.82265,-1.9616534,-2.801805,47.7985878,44.6310692
98304,-3.4192061,-7.6621695,2.3288238,47.6448021,48.6467896
100352,-2.2121055,-18.228949,-2.8112507,51.2649918,43.5162048
102400,-0.8273638,-24.75778,2.32393503,41.7298813,34.8770027
104448,1.73615253,-28.767004,6.33964682,33.9551125,39.9475784
106496,2.93287253,-28.896431,6.32098913,17.6637192,41.2826385
108544,9.05626106,-33.100918,1.82743037,11.3455486,53.7619133
110592,-4.6364799,-43.726929,8.06829929,0.18655635,61.8651352
112640,22.2178783,-33.747852,17.6875267,-8.8183336,45.3671989
114688,21.3225536,-39.724575,5.79342556,8.89796352,49.2196121
116736,12.06108,-41.321598,11.0154476,27.5932407,42.6297493
118784,12.7308769,-45.78688,4.10175228,15.1154881,38.4747543
120832,11.2919216,-44.65173,5.61139965,9.80504513,27.4199638
122880,18.0136852,-42.503433,6.36664629,0.39909896,31.6792011
124928,19.5837574,-42.70002,12.2145014,-12.794923,41.9458466
126976,14.2757874,-35.282616,18.6623116,-22.479364,32.5010834
129024,26.3894978,-29.53286,28.0523529,-15.480906,30.8277016
131072,22.4065838,-14.505001,23.3915901,11.6270714,25.691227
133120,19.091032,-10.217981,20.9172001,14.0628119,25.3164043
135168,17.1839943,-9.976491,19.5922966,19.8428154,34.6883965
137216,1.7835077,-2.9066637,8.5145874,35.0479889,30.3080807
139264,-3.0576057,-1.9315807,15.4877443,28.8084431,39.9761124
141312,-2.0545239,-4.6485181,4.63452101,38.7042656,42.9956779
143360,3.39045954,1.89775705,3.6188333,41.4947205,48.2505112
145408,-2.9251754,10.9860821,3.66299486,45.9343796,42.3759117
147456,-3.5142088,17.0070038,7.36764479,60.0606613,40.996479
149504,-15.232666,19.4582424,33.2965126,64.7780685,30.5604115
151552,-7.4593353,14.8428955,28.5338993,53.1987495,37.0853996
153600,-22.861639,20.652607,23.3843403,48.3401566,36.9973793
155648,-18.831488,29.1755791,22.2430992,43.070015,48.0684814
157696,-25.608545,37.3258514,36.9454765,51.8254738,50.6131477
159744,-24.907675,34.0313911,39.4918556,50.9901772,41.1392555
161792,-25.393095,29.8332558,48.3396034,47.8341713,40.0396538
163840,-29.991119,29.2571316,51.2989616,49.3998108,45.393837
165888,-37.200737,30.4661331,33.9935799,51.9968185,52.6957779
167936,-30.946907,25.0157413,40.9748039,41.199398,61.8598366
169984,-37.19574,10.1213751,46.874649,32.3667793,62.0510712
172032,-36.352364,8.98719215,47.3848,31.6239643,61.6573029
174080,-33.309628,3.86581564,67.440773,28.3876019,56.4284935
176128,-33.595558,0.00491041,62.840435,23.7862091,44.9759598
178176,-23.171318,4.52279949,76.1156082,22.9323273,34.5520897
180224,-11.948532,11.4906111,71.7215118,20.9905319,28.6789436
182272,-11.771287,16.5796776,72.4888458,18.8101215,29.4278564
184320,-17.659077,13.1774321,75.7271347,16.8970737,34.1626282
186368,-11.543918,13.5061741,60.789196,-0.762712,33.0635986
188416,-10.330398,14.4734306,53.8331032,-5.6455841,32.5705109
190464,-8.5761395,8.40245152,52.4517899,5.14635515,38.5346413
192512,-8.2172279,9.22694016,44.5030823,6.6785512,37.7202835
194560,-2.3982134,8.68564796,39.8228912,-0.4675653,28.030489
196608,-6.1172771,8.24234962,41.5768166,9.05479527,26.1413784
198656,-6.5644183,-7.5525718,29.4825974,5.4935174,24.6914196
200704,-6.3811727,1.30906487,25.1432514,10.9982405,42.5741615
202752,-7.1112285,-4.3428154,20.3818054,10.883009,47.9538422
204800,-10.942825,-8.9372053,9.46437454,17.8960609,38.4362907
206848,-0.895007,-8.5144243,5.26706123,6.52324963,39.4583473
208896,-6.9513865,-3.7631333,3.93436766,5.07955122,39.4273453
210944,-6.829237,-3.0670693,-7.3715196,13.9954395,74.0496597
212992,-8.0836039,1.34818912,-23.882402,4.1560483,86.5261612
215040,-13.558886,-2.094367,-24.024122,-0.7378195,86.2681961
217088,-12.813348,-0.9005581,-35.117897,-6.7238922,81.9829712
219136,-17.419132,-2.6895468,-55.208958,-0.3713225,77.0944824
221184,-19.439342,-13.436499,-55.228878,0.94577926,81.9901886
223232,-18.768217,-16.939915,-62.174385,-4.6755271,80.9035797
225280,-18.996817,-7.6187067,-72.560768,-4.3524308,78.7361984
227328,-13.784073,-3.4385104,-76.737465,12.1262817,92.4717865
229376,-12.629744,-2.1007469,-66.947334,5.39502573,107.016609
231424,-17.969553,-4.7540054,-70.544708,2.70345688,112.54808
233472,-7.5436563,2.64979482,-64.486748,8.70131016,101.684967
235520,-10.787734,-1.8686463,-65.920403,6.08850574,99.4880142
237568,-0.0083813,3.37586927,-61.230751,-0.9242465,106.081512
239616,4.43678236,-0.8507989,-65.564835,-2.8030407,107.002693
241664,8.37022018,-2.9827602,-64.638474,-2.6065705,111.268867
243712,11.217617,9.60413647,-76.143677,-2.1135876,112.575798
245760,12.2794781,12.839241,-78.227287,-5.8955464,123.384666
247808,9.34487152,13.9604311,-72.406235,1.3551141,123.366425
249856,10.0757456,12.0992937,-72.147964,2.34748578,116.421272
251904,12.1480522,10.8512688,-61.132832,-6.719461,128.867508